Website Principal,Website Category,Website JSON File,Present on Website,Same Principal Excel Status,Closest Same-Principal Excel Category,Same-Principal Confidence %,Anywhere in Excel Status,Closest Excel Category Anywhere,Excel Principal for Closest Match,Global Confidence %,Recommended Action
Ametek Brookfield,Laboratory Viscometers,laboratory-viscometers.json,Yes,Equivalent wording,Viscometers (Rotational / Viscosity),80,Exact,Viscometers,ThermoFisher Scientific,100,No action — category represented under same principal
Ametek Brookfield,Moisture Analyzers,moisture-analyzers.json,Yes,Missing,Viscometers (Rotational / Viscosity),42,Exact,Moisture Analyzers,Mettler Toledo,100,Add under Ametek Brookfield; currently appears elsewhere under Mettler Toledo
Ametek Brookfield,Powder Flow Testers,powder-flow-testers.json,Yes,Missing,Rheometers,37,Missing,Flow Chemistry Reactors,ThalesNano,50,Add category to the Excel sheet
Ametek Brookfield,Rheometers,rheometers.json,Yes,Exact,Rheometers,100,Exact,Rheometers,Brookfield,100,No action — category represented under same principal
Ametek Brookfield,Software / Data Analysis,software-data-analysis.json,Yes,Missing,Viscometers (Rotational / Viscosity),46,Missing,Microbial Analysis Systems,SBT Instruments,53,Add category to the Excel sheet
Ametek Brookfield,Texture Analyzers,texture-analyzers.json,Yes,Missing,Viscometers (Rotational / Viscosity),34,Missing,Gas Analyzers,Bruker,55,Add category to the Excel sheet
Bandelin,Ultrasonic Baths,ultrasonic-baths.json,Yes,Exact,Ultrasonic Baths,100,Exact,Ultrasonic Baths,Bandelin,100,No action — category represented under same principal
Bruker,FT-IR Gas Analyzer,ft-ir-gas-analyzer.json,Yes,Equivalent wording,Gas Analyzers,80,Equivalent wording,Gas Analyzers,Bruker,80,No action — category represented under same principal
Bruker,FT-IR Microscopes,ft-ir-microscopes.json,Yes,Exact,FT-IR Microscopes,100,Exact,FT-IR Microscopes,Bruker,100,No action — category represented under same principal
Bruker,FT-IR Research Spectrometers,ft-ir-research-spectrometers.json,Yes,Equivalent wording,FT-IR Spectrometers,80,Equivalent wording,FT-IR Spectrometers,Bruker,80,No action — category represented under same principal
Bruker,FT-IR Spectrometer,ft-ir-spectrometer.json,Yes,Exact,FT-IR Spectrometers,100,Exact,FT-IR Spectrometers,Bruker,100,No action — category represented under same principal
Bruker,FT-NIR Spectrometer,ft-nir-spectrometer.json,Yes,Exact,FT-NIR Spectrometers,100,Exact,FT-NIR Spectrometers,Bruker,100,No action — category represented under same principal
Bruker,Process Monitoring Spectrometer,process-monitoring-spectrometer.json,Yes,Equivalent wording,Process Monitoring Systems,80,Equivalent wording,Process Monitoring Systems,Bruker,80,No action — category represented under same principal
Bruker,Raman Microscopes,raman-microscopes.json,Yes,Related / partial,FT-IR Microscopes,75,Related / partial,FT-IR Microscopes,Bruker,75,Review wording or add as a separate category under this principal
Bruker,Raman Spectrometer,raman-spectrometer.json,Yes,Equivalent wording,Handheld Raman Spectrometers,80,Equivalent wording,Handheld Raman Spectrometers,Bruker,80,No action — category represented under same principal
Buchi,Freeze Dryer (Lyophilizer),freeze-dryer-lyophilizer.json,Yes,Exact,Freeze Dryer (Lyophilizer),100,Exact,Freeze Dryer (Lyophilizer),Buchi,100,No action — category represented under same principal
BWB Technologies,Flame Photometers,flame-photometers.json,Yes,Exact,Flame Photometers,100,Exact,Flame Photometers,BWB Technologies,100,No action — category represented under same principal
Chemspeed,Automated Extraction (QuEChERS),automated-extraction-quechers.json,Yes,Missing,Automated Laboratory Platforms,52,Related / partial,Automated Reaction Stations,Radleys,67,Add/review — only a related category exists in the sheet
Chemspeed,Automated Synthesis for Innovative Medicines,automated-synthesis-for-innovative-medicines.json,Yes,Missing,Automated Laboratory Platforms,50,Missing,Automated Laboratory Platforms,Chemspeed,50,Add category to the Excel sheet
Chemspeed,Crystal Benchtop Solution,crystal-benchtop-solution.json,Yes,Missing,Automated Powder Dispensing Systems,27,Missing,Bacteria Enumeration Systems,SBT Instruments,49,Add category to the Excel sheet
Dara-Lyo,Pilot Freeze Dryers,pilot-freeze-dryers.json,Yes,Exact,Pilot Freeze Dryers,100,Exact,Pilot Freeze Dryers,Dara-Lyo,100,No action — category represented under same principal
ECOM,Columns for Preparative Chromatography,columns-for-preparative-chromatography.json,Yes,Missing,Preparative HPLC Systems (Entry-Level Scale-Up),43,Equivalent wording,Preparative Chromatography Systems,Advion Interchim Scientific,83,Add under ECOM; currently appears elsewhere under Advion Interchim Scientific
ECOM,PLC Industrial Systems,plc-industrial-systems.json,Yes,Missing,Preparative HPLC Systems (Entry-Level Scale-Up),35,Missing,CO₂ Incubators,Being,54,Add category to the Excel sheet
FOM Technologies,Roll-to-Roll Slot-Die Coating Systems,slot-die-coating-systems.json,Yes,Exact,Roll-to-Roll Slot-Die Coating Systems,100,Exact,Roll-to-Roll Slot-Die Coating Systems,FOM Technologies,100,No action — category represented under same principal
FOM Technologies,Sheet-Based Slot-Die Coating Systems,sheet-based-slot-die-coating-systems.json,Yes,Exact,Sheet-Based Slot-Die Coating Systems,100,Exact,Sheet-Based Slot-Die Coating Systems,FOM Technologies,100,No action — category represented under same principal
FOM Technologies,Slot-Die Coating Heads (PEEK Series),slot-die-coating-heads-peek-series.json,Yes,Exact,Slot-Die Coating Heads (PEEK Series),100,Exact,Slot-Die Coating Heads (PEEK Series),FOM Technologies,100,No action — category represented under same principal
FOM Technologies,Slot-Die Coating Heads (Steel Series),slot-die-coating-heads-steel-series.json,Yes,Exact,Slot-Die Coating Heads (Steel Series),100,Exact,Slot-Die Coating Heads (Steel Series),FOM Technologies,100,No action — category represented under same principal
GEA,Industrial Homogenizers,industrial-homogenizers.json,Yes,Related / partial,Pilot & Production Homogenizers,67,Related / partial,Pilot & Production Homogenizers,Gea,67,Review wording or add as a separate category under this principal
GEA,Laboratory Homogenizers,laboratory-homogenizers.json,Yes,Related / partial,High-Pressure Homogenizers,74,Equivalent wording,Hand-Held Rotor-Stator Homogenizers,ProScientific,80,Review wording or add as a separate category under this principal
GEA,Skid-Mounted Homogenizers,skid-mounted-homogenizers.json,Yes,Related / partial,Pilot & Production Homogenizers,64,Related / partial,Pilot & Production Homogenizers,Gea,64,Review wording or add as a separate category under this principal
Heidolph,Large Scale Rotary Evaporators,large-scale-rotary-evaporators.json,Yes,Related / partial,Rotary Evaporators,74,Related / partial,Rotary Evaporators,Heidolph,74,Review wording or add as a separate category under this principal
Heidolph,Magnetic Stirrers,magnetic-stirrers.json,Yes,Exact,Magnetic Stirrers,100,Exact,Magnetic Stirrers,Heidolph,100,No action — category represented under same principal
Heidolph,Overhead Stirrers,overhead-stirrers.json,Yes,Exact,Overhead Stirrers,100,Exact,Overhead Stirrers,Heidolph,100,No action — category represented under same principal
Heidolph,Peristaltic Pumps,peristaltic-pumps.json,Yes,Exact,Peristaltic Pumps,100,Exact,Peristaltic Pumps,Heidolph,100,No action — category represented under same principal
Heidolph,Rotary Evaporators,rotary-evaporators.json,Yes,Exact,Rotary Evaporators,100,Exact,Rotary Evaporators,Heidolph,100,No action — category represented under same principal
Heidolph,Shakers & Mixers,shakers-and-mixers.json,Yes,Missing,Overhead Stirrers,50,Missing,Overhead Stirrers,Heidolph,50,Add category to the Excel sheet
Heidolph,Vacuum Pumps,vacuum-pumps.json,Yes,Missing,Peristaltic Pumps,52,Equivalent wording,Oil Vacuum Pumps,Being,85,Add under Heidolph; currently appears elsewhere under Being
Hohsen Corp,Equipment For Battery,equipment-for-battery.json,Yes,Missing,Electrode Coating Machines,35,Missing,Environmental Chambers,JeioTech,48,Add category to the Excel sheet
Implen,NanoPhotometer,nanophotometer.json,Yes,Missing,Microvolume UV/VIS Spectrophotometers,44,Missing,Rheometers,Brookfield,55,Add category to the Excel sheet
Implen,OD 600,od-600.json,Yes,Missing,Microvolume UV/VIS Spectrophotometers,10,Missing,BOD Incubators,Being,32,Add category to the Excel sheet
Inkarp USB,Ultrasonic Cleaners & Baths,ultrasonic-cleaners-baths.json,Yes,Equivalent wording,Ultrasonic Cleaners,80,Equivalent wording,Ultrasonic Cleaners,Inkarp USB,80,No action — category represented under same principal
JeioTech,Environmental Chambers,environmental-chambers.json,Yes,Exact,Environmental Chambers,100,Exact,Environmental Chambers,JeioTech,100,No action — category represented under same principal
Kubota,General Purpose Centrifuges,general-purpose-centrifuges.json,Yes,Related / partial,Benchtop Centrifuges,62,Related / partial,Benchtop Centrifuges,Kubota,62,Review wording or add as a separate category under this principal
Kubota,Laboratory Centrifuges,laboratory-centrifuges.json,Yes,Equivalent wording,Floor-Standing Refrigerated Centrifuges,80,Equivalent wording,Floor-Standing Refrigerated Centrifuges,Kubota,80,No action — category represented under same principal
Kubota,Large Laboratory Centrifuges,large-laboratory-centrifuges.json,Yes,Related / partial,Benchtop Centrifuges,69,Related / partial,Benchtop Centrifuges,Kubota,69,Review wording or add as a separate category under this principal
Labomatic,Industrial Liquid Chromatography,industrial-liquid-chromatography.json,Yes,Missing,Fully Integrated Chromatography Platforms (End-to-End Systems),51,Related / partial,Centrifugal Partition Chromatography Systems,RotaChrom,71,Add/review — only a related category exists in the sheet
Labomatic,Liquid Handling,liquid-handling.json,Yes,Missing,Multi-Column Chromatography Systems (Continuous Separation),29,Equivalent wording,Liquid Handling & Dispensing Systems,Chemspeed,80,Add under Labomatic; currently appears elsewhere under Chemspeed
Labstation i,Glovebox Workstations,glovebox-workstations.json,Yes,Exact,Glovebox Workstations,100,Exact,Glovebox Workstations,Labstation i,100,No action — category represented under same principal
Labstation i,Solvent Purification Systems,solvent-purification-systems.json,Yes,Exact,Solvent Purification Systems,100,Exact,Solvent Purification Systems,Labstation i,100,No action — category represented under same principal
Luzchem,Extra Large Photoreactor with Heating,photoreactor-xl.json,Yes,Missing,ICH Photoreactors (Pharma Stability Testing Systems) ,56,Missing,ICH Photoreactors (Pharma Stability Testing Systems) ,Luzchem,56,Add category to the Excel sheet
Luzchem,Laser Flash Photolysis,laser-flash-photolysis.json,Yes,Missing,Chamber Photoreactors,44,Missing,Flame Photometers,BWB Technologies,49,Add category to the Excel sheet
Luzchem,LED Illuminator,led-illuminator.json,Yes,Missing,Computer-Controlled Photoreactors,30,Missing,Heated Circulators,PolyScience,55,Add category to the Excel sheet
Luzchem,Photochemistry / Irradiation,xenon-illuminator.json,Yes,Missing,ICH Photoreactors (Pharma Stability Testing Systems) ,45,Related / partial,Photochemistry Reactors,ThalesNano,71,Add/review — only a related category exists in the sheet
Luzchem,Photoreactors & Exposure,lzc-photoreactor.json,Yes,Missing,Chamber Photoreactors,53,Missing,Chamber Photoreactors,Luzchem,53,Add category to the Excel sheet
Luzchem,Solar Simulators (300–800 nm),solar-simulators-300-800-nm.json,Yes,Missing,Xenon Photoreactors (Solar Simulation Systems),49,Missing,Xenon Photoreactors (Solar Simulation Systems),Luzchem,49,Add category to the Excel sheet
Luzchem,Well Plate Illuminator,well-plate-illuminator.json,Yes,Missing,Computer-Controlled Photoreactors,30,Missing,Heated Circulators,PolyScience,55,Add category to the Excel sheet
Maccor,Battery And Cell Test Equipment,battery-and-cell-test-equipment.json,Yes,Missing,Battery Test Systems,56,Missing,Battery Cell Assembly Systems,Hohsen Corp,58,Add category to the Excel sheet
Mettler Toledo,Density Meter,density-meter.json,Yes,Exact,Density meters,100,Exact,Density meters,Mettler Toledo,100,No action — category represented under same principal
Mettler Toledo,Melting Point Systems,melting-point-systems.json,Yes,Exact,Melting Point Systems,100,Exact,Melting Point Apparatus,Buchi,100,No action — category represented under same principal
Mettler Toledo,Moisture Analyzers,moisture-analyzers.json,Yes,Exact,Moisture Analyzers,100,Exact,Moisture Analyzers,Mettler Toledo,100,No action — category represented under same principal
Mettler Toledo,pH Meters,ph-meters.json,Yes,Exact,pH Meters,100,Exact,pH Meters,Mettler Toledo,100,No action — category represented under same principal
Mettler Toledo,Refractometer,refractometer.json,Yes,Exact,Refractometers,100,Exact,Refractometers,Mettler Toledo,100,No action — category represented under same principal
Mettler Toledo,Titrators,titrators.json,Yes,Exact,Titrators,100,Exact,Titrators,Mettler Toledo,100,No action — category represented under same principal
Mettler Toledo,UV/VIS Spectrophotometers,uv-vis-spectrophotometers.json,Yes,Exact,UV/VIS Spectrophotometers,100,Exact,UV/VIS Spectrophotometers,DLAB,100,No action — category represented under same principal
Mettler Toledo,Weighing Balances,weighing-balances.json,Yes,Exact,Weighing Balances,100,Exact,Weighing Balances,Mettler Toledo,100,No action — category represented under same principal
Nanalysis,Automation / Sample Handling (NMR),automation-sample-handling.json,Yes,Missing,Benchtop NMR Spectrometers,25,Missing,Autosamplers (Standalone / Basic Integration),ECOM,54,Add category to the Excel sheet
Nanalysis,Benchtop NMR,benchtop-nmr.json,Yes,Equivalent wording,Benchtop NMR Spectrometers,80,Equivalent wording,Benchtop NMR Spectrometers,Nanalysis,80,No action — category represented under same principal
Nanalysis,NMR Spectroscopy / Analysis,nmr-spectroscopy-analysis.json,Yes,Missing,Benchtop NMR Spectrometers,45,Missing,Microbial Analysis Systems,SBT Instruments,59,Add category to the Excel sheet
Nanalysis,Reaction Monitoring / Flow NMR,reaction-monitoring-flow-nmr.json,Yes,Missing,Benchtop NMR Spectrometers,30,Missing,Process Monitoring Systems,Bruker,57,Add category to the Excel sheet
Nanalysis,Software Packages,software-packages.json,Yes,Missing,Benchtop NMR Spectrometers,20,Missing,Moisture Analyzers,Mettler Toledo,48,Add category to the Excel sheet
Nanosurf,Industry,industry.json,Yes,Missing,Atomic Force Microscopes (AFM),11,Missing,Incubators,JeioTech,55,Add category to the Excel sheet
Nanosurf,Integration,integration.json,Yes,Missing,Atomic Force Microscopes (AFM),21,Equivalent wording,Autosamplers (Standalone / Basic Integration),ECOM,80,Add under Nanosurf; currently appears elsewhere under ECOM
Nanosurf,Research,advanced-research.json,Yes,Missing,Atomic Force Microscopes (AFM),17,Missing,Rheometers,Brookfield,47,Add category to the Excel sheet
NenoVision s.r.o.,Litescope,litescope.json,Yes,Missing,AFM-in-SEM Systems,21,Missing,Viscometers,ThermoFisher Scientific,53,Add category to the Excel sheet
Photon ETC,Area Scan Imaging,area-scan-imaging.json,Yes,Related / partial,Preclinical Imaging Systems,67,Related / partial,Preclinical Imaging Systems,Photon Etc,67,Review wording or add as a separate category under this principal
Photon ETC,eSWIR Cameras,eswir-cameras.json,Yes,Missing,Preclinical Imaging Systems,39,Missing,Density meters,Mettler Toledo,55,Add category to the Excel sheet
Photon ETC,Linescan Cameras,linescan-cameras.json,Yes,Missing,Preclinical Imaging Systems,35,Missing,Plant Growth Chambers,Being,51,Add category to the Excel sheet
Photon ETC,Microscopy,microscopy.json,Yes,Missing,Preclinical Imaging Systems,14,Missing,FT-IR Microscopes,Bruker,55,Add category to the Excel sheet
Photon ETC,NIR-I & NIR-II Preclinical Imaging,nir-i-nir-ii-preclinical-imaging.json,Yes,Equivalent wording,Preclinical Imaging Systems,80,Equivalent wording,Preclinical Imaging Systems,Photon Etc,80,No action — category represented under same principal
Photon ETC,Plate Readers,plate-readers.json,Yes,Missing,Preclinical Imaging Systems,26,Missing,Pilot Reactors,Radleys,55,Add category to the Excel sheet
Photon ETC,SWIR Cameras,swir-cameras.json,Yes,Missing,Preclinical Imaging Systems,33,Missing,Environmental Chambers,JeioTech,50,Add category to the Excel sheet
PolyScience,Chillers,chillers.json,Yes,Exact,Chillers,100,Exact,Chillers,PolyScience,100,No action — category represented under same principal
PolyScience,Circulating Baths,circulating-baths.json,Yes,Exact,Circulating Baths,100,Exact,Circulating Baths,PolyScience,100,No action — category represented under same principal
PolyScience,Water Baths,water-baths.json,Yes,Missing,Circulating Baths,54,Exact,Water Baths,Being,100,Add under PolyScience; currently appears elsewhere under Being
ProScientific,Automated Homogenizer,automated-homogenizer.json,Yes,Missing,Hand-Held Rotor-Stator Homogenizers,62,Missing,Hand-Held Rotor-Stator Homogenizers,ProScientific,62,Add category to the Excel sheet
ProScientific,Digital Benchtop Homogenizers,digital-benchtop-homogenizers.json,Yes,Missing,Hand-Held Rotor-Stator Homogenizers,55,Missing,High-Pressure Homogenizers,Gea,60,Add category to the Excel sheet
ProScientific,Digital Homogenizer,digital-homogenizer.json,Yes,Missing,Hand-Held Rotor-Stator Homogenizers,57,Related / partial,High-Pressure Homogenizers,Gea,64,Add/review — only a related category exists in the sheet
ProScientific,Hand-Held Rotor-Stator Homogenizers,hand-held-rotor-stator-homogenizers.json,Yes,Exact,Hand-Held Rotor-Stator Homogenizers,100,Exact,Hand-Held Rotor-Stator Homogenizers,ProScientific,100,No action — category represented under same principal
ProScientific,Programmable Benchtop Homogenizers,programmable-benchtop-homogenizers.json,Yes,Missing,Hand-Held Rotor-Stator Homogenizers,48,Missing,High-Pressure Homogenizers,Gea,55,Add category to the Excel sheet
Radleys,Automated Reaction Stations,automated-reaction-stations.json,Yes,Exact,Automated Reaction Stations,100,Exact,Automated Reaction Stations,Radleys,100,No action — category represented under same principal
Radleys,AVA Lab Control Software,ava-lab-control-software.json,Yes,Missing,Automated Reaction Stations,39,Missing,Automation & Control Systems (PLC / Software Driven),Labomatic,61,Add category to the Excel sheet
Radleys,Benchtop and Hotplate Tools,benchtop-and-hotplate-tools.json,Yes,Missing,Automated Reaction Stations,35,Missing,Benchtop Rotary Evaporators,DLAB,58,Add category to the Excel sheet
Radleys,Jacketed Lab Reactors,jacketed-lab-reactors.json,Yes,Related / partial,Pilot Reactors,62,Related / partial,Pilot Reactors,Radleys,62,Review wording or add as a separate category under this principal
Radleys,Parallel Reaction Stations,parallel-reaction-stations.json,Yes,Equivalent wording,Parallel Reaction Systems,81,Equivalent wording,Parallel Reaction Systems,Radleys,81,No action — category represented under same principal
Reichert Technologies,High-Sensitivity Surface Plasmon Resonance (SPR) Systems,high-sensitivity-surface-plasmon-resonance-spr-systems.json,Yes,Missing,,0,Exact,High-Sensitivity Surface Plasmon Resonance (SPR) Systems,Reichert Technologies,100,Add under Reichert Technologies; currently appears elsewhere under Reichert Technologies
Robot Coupe,Blixer Systems (Fine Homogenization for Semi-Solid Samples),blixer-systems.json,Yes,Exact,Blixer Systems (Fine Homogenization for Semi-Solid Samples),100,Exact,Blixer Systems (Fine Homogenization for Semi-Solid Samples),Robot Coupe,100,No action — category represented under same principal
Rotzmeier,Accessories,accessories.json,Yes,Equivalent wording,Chemical Handling Accessories,80,Equivalent wording,Chemical Handling Accessories,Rotzmeier,80,No action — category represented under same principal
Rotzmeier,Funnels,safety-funnels.json,Yes,Equivalent wording,Safety Funnels,80,Equivalent wording,Safety Funnels,Rotzmeier,80,No action — category represented under same principal
Rotzmeier,Safety Barrels,safety-barrels.json,Yes,Exact,Safety Barrels,100,Exact,Safety Barrels,Rotzmeier,100,No action — category represented under same principal
Rotzmeier,Safety Canisters,safety-canisters.json,Yes,Exact,Safety Canisters,100,Exact,Safety Canisters,Rotzmeier,100,No action — category represented under same principal
Rotzmeier,Safety Cans,safety-cans.json,Yes,Exact,Safety Cans,100,Exact,Safety Cans,Rotzmeier,100,No action — category represented under same principal
Rotzmeier,Transportation Containers,transportation-containers.json,Yes,Equivalent wording,Transport Containers,88,Equivalent wording,Transport Containers,Rotzmeier,88,No action — category represented under same principal
Sartorius,Arium Advance,arium-advance.json,Yes,Missing,"Lab Water Purification Systems (Type I, II, III)",22,Missing,Vacuum Ovens,JeioTech,50,Add category to the Excel sheet
Sartorius,Arium Comfort,arium-comfort.json,Yes,Missing,"Lab Water Purification Systems (Type I, II, III)",22,Missing,Vacuum Controllers,Vacuubrand,53,Add category to the Excel sheet
Sartorius,Arium Mini Plus,arium-mini-plus.json,Yes,Missing,"Lab Water Purification Systems (Type I, II, III)",26,Missing,AFM-in-SEM Systems,NenoVision s.r.o.,55,Add category to the Excel sheet
Sartorius,Arium Pro,arium-pro.json,Yes,Missing,"Lab Water Purification Systems (Type I, II, III)",24,Missing,Vacuum Ovens,JeioTech,50,Add category to the Excel sheet
SBT Instruments,Bacteria Enumeration Systems,bacteria-enumeration-systems.json,Yes,Exact,Bacteria Enumeration Systems,100,Exact,Bacteria Enumeration Systems,SBT Instruments,100,No action — category represented under same principal
Sonics & Materials,"Laboratory Scale Models, Volume 150 µL to 150 mL",laboratory-scale-models-volume-150ul-to-150ml.json,Yes,Missing,,0,Missing,Microvolume UV/VIS Spectrophotometers,Implen,40,Add category to the Excel sheet
Sonics & Materials,"Laboratory Scale Models, Volume 200 µL to 1 L",laboratory-scale-models-volume-200ul-to-1l.json,Yes,Missing,,0,Missing,Microvolume UV/VIS Spectrophotometers,Implen,39,Add category to the Excel sheet
Sonics & Materials,"Laboratory Scale Models, Volume 200 µL to 2 L",laboratory-scale-models-volume-200ul-to-2l.json,Yes,Missing,,0,Missing,Microvolume UV/VIS Spectrophotometers,Implen,39,Add category to the Excel sheet
Sonics & Materials,Ultrasonic Probe Sonicators,ultrasonic-probe-sonicators.json,Yes,Missing,,0,Exact,Ultrasonic Probe Sonicators,Sonics & Materials,100,Add under Sonics & Materials; currently appears elsewhere under Sonics & Materials
Sonics & Materials,Ultrasonic Probe Sonicators (Production Scale),ultrasonic-probe-sonicators-production-scale.json,Yes,Missing,,0,Related / partial,Ultrasonic Probe Sonicators,Sonics & Materials,74,Add/review — only a related category exists in the sheet
Sp Genevac,Benchtop Evaporators,benchtop-evaporators.json,Yes,Missing,Centrifugal Vacuum Evaporators,58,Equivalent wording,Benchtop Rotary Evaporators,DLAB,84,Add under Sp Genevac; currently appears elsewhere under DLAB
Sp Genevac,Centrifugal Evaporators,centrifugal-evaporators.json,Yes,Equivalent wording,Centrifugal Vacuum Evaporators,86,Equivalent wording,Centrifugal Vacuum Evaporators,SP Genevac,86,No action — category represented under same principal
ThalesNano,H Cube Systems,h-cube-systems.json,Yes,Missing,Hydrogen Generators,25,Missing,CO₂ Incubators,Being,44,Add category to the Excel sheet
ThalesNano,Hydrogen Gas Generators,hydrogen-gas-generators.json,Yes,Equivalent wording,Hydrogen Generators,90,Equivalent wording,Hydrogen Generators,ThalesNano,90,No action — category represented under same principal
ThalesNano,Phoenix Flow Systems,phoenix-flow-systems.json,Yes,Missing,Hydrogenation Flow Reactors,53,Missing,Hydrogenation Flow Reactors,ThalesNano,53,Add category to the Excel sheet
ThalesNano,PhotoCube™,photocube.json,Yes,Missing,Photochemistry Reactors,45,Missing,Flame Photometers,BWB Technologies,48,Add category to the Excel sheet
ThermoFisher Scientific,Viscometers,viscometers.json,Yes,Exact,Viscometers,100,Exact,Viscometers,ThermoFisher Scientific,100,No action — category represented under same principal
Waters,Chromatography and LC-MS Systems,chromatography-and-lc-ms-systems.json,Yes,Related / partial,Chromatography Data Systems & Informatics,69,Equivalent wording,LC-MS Systems,Advion Interchim Scientific,80,Review wording or add as a separate category under this principal
Waters,"LC-MS Systems (High Sensitivity, Regulatory Compliant)",lc-ms-systems-high-sensitivity-regulatory-compliant.json,Yes,Missing,High Resolution Mass Spectrometry / QTOF Systems,40,Related / partial,LC-MS Systems,Advion Interchim Scientific,74,Add/review — only a related category exists in the sheet
Waters,UPLC,uplc.json,Yes,Equivalent wording,Analytical HPLC / UHPLC / UPLC Systems,80,Equivalent wording,Analytical HPLC / UHPLC / UPLC Systems,Waters,80,No action — category represented under same principal
Zeiss,Automated Microscopy Systems,automated-microscopy-systems.json,Yes,Missing,Optical Microscopes,55,Missing,Automated Reaction Stations,Radleys,61,Add category to the Excel sheet
Zeiss,Inverted Microscopes,inverted-microscopes.json,Yes,Related / partial,Optical Microscopes,65,Related / partial,FT-IR Microscopes,Bruker,74,Review wording or add as a separate category under this principal
Zeiss,SteREO Discovery Family,stereo-discovery-family.json,Yes,Missing,Field Emission Scanning Electron Microscopes (FESEM),36,Missing,Atomic Force Microscopes (AFM),Nanosurf,44,Add category to the Excel sheet
Zeiss,Stereo Microscopes,stereo-microscopes.json,Yes,Related / partial,Optical Microscopes,69,Equivalent wording,FT-IR Microscopes,Bruker,79,Review wording or add as a separate category under this principal
Zeiss,Upright Microscopes,upright-microscopes.json,Yes,Related / partial,Optical Microscopes,72,Related / partial,Optical Microscopes,Zeiss,72,Review wording or add as a separate category under this principal
Zeiss,Zoom Microscopes,zoom-microscopes.json,Yes,Related / partial,Confocal Microscopes,76,Related / partial,Confocal Microscopes,Zeiss,76,Review wording or add as a separate category under this principal
